"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",3,3,6,50,"19","81"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",6,1,7,14,"3","51"
"Pseudomonas aeruginosa","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Amikacin",6,1,7,14,"3","51"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",4,3,7,43,"16","75"
"Pseudomonas aeruginosa","Community","Imipenem",4,3,7,43,"16","75"
"Pseudomonas aeruginosa","Community","Meropenem",5,2,7,29,"8","64"
"Pseudomonas aeruginosa","Community","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Tigecycline",10,0,10,0,"0","28"
"Acinetobacter spp.","Community","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",5,0,5,0,"0","43"
"Acinetobacter spp.","Community","Gentamicin",2,0,2,0,"0","66"
"Acinetobacter spp.","Community","Amikacin",5,0,5,0,"0","43"
"Acinetobacter spp.","Community","CARBAPENEMS",11,2,13,15,"4","42"
"Acinetobacter spp.","Community","Imipenem",11,2,13,15,"4","42"
"Acinetobacter spp.","Community","Meropenem",11,2,13,15,"4","42"
"Acinetobacter spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Colistin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Methicillin",8,2,10,20,"6","51"
"Staphylococcus aureus","Hospital","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Clindamycin",6,4,10,40,"17","69"
"Enterococcus spp.","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Vancomycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Penicillin G",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Hospital","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,2,2,100,"34","100"
"Streptococcus pneumoniae","Hospital","3GC",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Hospital","Cefotaxime",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Hospital","Erythromycin",0,2,2,100,"34","100"
"Streptococcus pneumoniae","Hospital","Clindamycin",1,1,2,50,"9","91"
"Streptococcus pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","3GC",1,0,1,0,"0","79"
"Salmonella spp.","Hospital","Ceftriaxone",1,0,1,0,"0","79"
"Salmonella spp.","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftazidime",1,0,1,0,"0","79"
"Salmonella spp.","Hospital","CARBAPENEMS",1,0,1,0,"0","79"
"Salmonella spp.","Hospital","Imipenem",1,0,1,0,"0","79"
"Salmonella spp.","Hospital","Meropenem",1,0,1,0,"0","79"
"Salmonella spp.","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Gentamicin",4,1,5,20,"4","62"
"Escherichia coli","Hospital","Amikacin",9,0,9,0,"0","30"
"Escherichia coli","Hospital","Co-trimoxazole",3,2,5,40,"12","77"
"Escherichia coli","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","FLUOROQUINOLONES",2,7,9,78,"45","94"
"Escherichia coli","Hospital","Ciprofloxacin",2,7,9,78,"45","94"
"Escherichia coli","Hospital","Levofloxacin",0,2,2,100,"34","100"
"Escherichia coli","Hospital","3GC",4,5,9,56,"27","81"
"Escherichia coli","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftriaxone",4,5,9,56,"27","81"
"Escherichia coli","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftazidime",2,1,3,33,"6","79"
"Escherichia coli","Hospital","Cefepime",8,1,9,11,"2","43"
"Escherichia coli","Hospital","CARBAPENEMS",8,1,9,11,"2","43"
"Escherichia coli","Hospital","Imipenem",8,1,9,11,"2","43"
"Escherichia coli","Hospital","Meropenem",8,1,9,11,"2","43"
"Escherichia coli","Hospital","Ertapenem",8,1,9,11,"2","43"
"Escherichia coli","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Gentamicin",8,5,13,38,"18","64"
"Klebsiella pneumoniae","Hospital","Amikacin",13,0,13,0,"0","23"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",6,7,13,54,"29","77"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",5,8,13,62,"36","82"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",5,8,13,62,"36","82"
"Klebsiella pneumoniae","Hospital","Levofloxacin",0,1,1,100,"21","100"
"Klebsiella pneumoniae","Hospital","3GC",4,9,13,69,"42","87"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",4,9,13,69,"42","87"
"Klebsiella pneumoniae","Hospital","Cefotaxime",1,1,2,50,"9","91"
"Klebsiella pneumoniae","Hospital","Ceftazidime",1,3,4,75,"30","95"
"Klebsiella pneumoniae","Hospital","Cefepime",5,5,10,50,"24","76"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",8,5,13,38,"18","64"
"Klebsiella pneumoniae","Hospital","Imipenem",9,4,13,31,"13","58"
"Klebsiella pneumoniae","Hospital","Meropenem",10,3,13,23,"8","50"
"Klebsiella pneumoniae","Hospital","Ertapenem",9,4,13,31,"13","58"
"Klebsiella pneumoniae","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",2,3,5,60,"23","88"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",3,2,5,40,"12","77"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",1,3,4,75,"30","95"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",4,1,5,20,"4","62"
"Pseudomonas aeruginosa","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Amikacin",4,1,5,20,"4","62"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",2,3,5,60,"23","88"
"Pseudomonas aeruginosa","Hospital","Imipenem",2,3,5,60,"23","88"
"Pseudomonas aeruginosa","Hospital","Meropenem",2,3,5,60,"23","88"
"Pseudomonas aeruginosa","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Tigecycline",17,0,17,0,"0","18"
"Acinetobacter spp.","Hospital","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",4,3,7,43,"16","75"
"Acinetobacter spp.","Hospital","Gentamicin",0,3,3,100,"44","100"
"Acinetobacter spp.","Hospital","Amikacin",4,2,6,33,"10","70"
"Acinetobacter spp.","Hospital","CARBAPENEMS",10,11,21,52,"32","72"
"Acinetobacter spp.","Hospital","Imipenem",11,10,21,48,"28","68"
"Acinetobacter spp.","Hospital","Meropenem",8,11,19,58,"36","77"
"Acinetobacter spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Colistin",0,0,0,NA,"NA","NA"
