"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Salmonella spp.","Community","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Gentamicin",3,2,5,40,"12","77"
"Escherichia coli","Community","Amikacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Co-trimoxazole",1,4,5,80,"38","96"
"Escherichia coli","Community","Ampicillin",0,5,5,100,"57","100"
"Escherichia coli","Community","FLUOROQUINOLONES",2,3,5,60,"23","88"
"Escherichia coli","Community","Ciprofloxacin",2,3,5,60,"23","88"
"Escherichia coli","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","3GC",2,3,5,60,"23","88"
"Escherichia coli","Community","Cefpodoxime",2,3,5,60,"23","88"
"Escherichia coli","Community","Ceftriaxone",2,3,5,60,"23","88"
"Escherichia coli","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Ceftazidime",2,3,5,60,"23","88"
"Escherichia coli","Community","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","CARBAPENEMS",5,0,5,0,"0","43"
"Escherichia coli","Community","Imipenem",2,0,2,0,"0","66"
"Escherichia coli","Community","Meropenem",3,0,3,0,"0","56"
"Escherichia coli","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Community","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Gentamicin",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Amikacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Co-trimoxazole",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","FLUOROQUINOLONES",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Ciprofloxacin",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","3GC",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Cefpodoxime",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Ceftriaxone",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Cefotaxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ceftazidime",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","CARBAPENEMS",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Imipenem",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Community","Meropenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Ertapenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Community","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Ceftazidime",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Gentamicin",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Amikacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Imipenem",1,0,1,0,"0","79"
"Pseudomonas aeruginosa","Community","Meropenem",1,0,1,0,"0","79"
"Pseudomonas aeruginosa","Community","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",3,0,3,0,"0","56"
"Acinetobacter spp.","Community","Gentamicin",3,0,3,0,"0","56"
"Acinetobacter spp.","Community","Amikacin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","CARBAPENEMS",3,0,3,0,"0","56"
"Acinetobacter spp.","Community","Imipenem",1,0,1,0,"0","79"
"Acinetobacter spp.","Community","Meropenem",2,0,2,0,"0","66"
"Acinetobacter spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Colistin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Methicillin",1,1,2,50,"9","91"
"Staphylococcus aureus","Hospital","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Clindamycin",0,1,1,100,"21","100"
"Enterococcus spp.","Hospital","Ampicillin",0,1,1,100,"21","100"
"Enterococcus spp.","Hospital","Vancomycin",1,0,1,0,"0","79"
"Enterococcus spp.","Hospital","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",0,2,2,100,"34","100"
"Salmonella spp.","Hospital","Ciprofloxacin",0,2,2,100,"34","100"
"Salmonella spp.","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","3GC",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Ceftriaxone",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Gentamicin",2,2,4,50,"15","85"
"Escherichia coli","Hospital","Amikacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Co-trimoxazole",0,4,4,100,"51","100"
"Escherichia coli","Hospital","Ampicillin",0,4,4,100,"51","100"
"Escherichia coli","Hospital","FLUOROQUINOLONES",2,2,4,50,"15","85"
"Escherichia coli","Hospital","Ciprofloxacin",2,2,4,50,"15","85"
"Escherichia coli","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","3GC",0,4,4,100,"51","100"
"Escherichia coli","Hospital","Cefpodoxime",0,4,4,100,"51","100"
"Escherichia coli","Hospital","Ceftriaxone",0,4,4,100,"51","100"
"Escherichia coli","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftazidime",0,4,4,100,"51","100"
"Escherichia coli","Hospital","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","CARBAPENEMS",4,0,4,0,"0","49"
"Escherichia coli","Hospital","Imipenem",3,0,3,0,"0","56"
"Escherichia coli","Hospital","Meropenem",1,0,1,0,"0","79"
"Escherichia coli","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Gentamicin",5,1,6,17,"3","56"
"Klebsiella pneumoniae","Hospital","Amikacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",2,4,6,67,"30","90"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",4,2,6,33,"10","70"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",4,2,6,33,"10","70"
"Klebsiella pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","3GC",3,3,6,50,"19","81"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",3,3,6,50,"19","81"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",3,3,6,50,"19","81"
"Klebsiella pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftazidime",3,3,6,50,"19","81"
"Klebsiella pneumoniae","Hospital","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",6,0,6,0,"0","39"
"Klebsiella pneumoniae","Hospital","Imipenem",2,0,2,0,"0","66"
"Klebsiella pneumoniae","Hospital","Meropenem",4,0,4,0,"0","49"
"Klebsiella pneumoniae","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Hospital","Gentamicin",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Hospital","Amikacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",2,1,3,33,"6","79"
"Pseudomonas aeruginosa","Hospital","Imipenem",0,1,1,100,"21","100"
"Pseudomonas aeruginosa","Hospital","Meropenem",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",2,1,3,33,"6","79"
"Acinetobacter spp.","Hospital","Gentamicin",2,1,3,33,"6","79"
"Acinetobacter spp.","Hospital","Amikacin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","CARBAPENEMS",3,0,3,0,"0","56"
"Acinetobacter spp.","Hospital","Imipenem",1,0,1,0,"0","79"
"Acinetobacter spp.","Hospital","Meropenem",2,0,2,0,"0","66"
"Acinetobacter spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Colistin",0,0,0,NA,"NA","NA"
