"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","Gentamicin",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","Amikacin",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","Imipenem",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","Meropenem",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",16,0,16,0,"0","19"
"Acinetobacter spp.","Community","Gentamicin",16,0,16,0,"0","19"
"Acinetobacter spp.","Community","Amikacin",16,0,16,0,"0","19"
"Acinetobacter spp.","Community","CARBAPENEMS",16,0,16,0,"0","19"
"Acinetobacter spp.","Community","Imipenem",14,0,14,0,"0","22"
"Acinetobacter spp.","Community","Meropenem",16,0,16,0,"0","19"
"Acinetobacter spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Colistin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Methicillin",9,0,9,0,"0","30"
"Staphylococcus aureus","Hospital","Vancomycin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Clindamycin",9,0,9,0,"0","30"
"Enterococcus spp.","Hospital","Ampicillin",4,0,4,0,"0","49"
"Enterococcus spp.","Hospital","Vancomycin",4,0,4,0,"0","49"
"Enterococcus spp.","Hospital","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Penicillin G",1,0,1,0,"0","79"
"Streptococcus pneumoniae","Hospital","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Erythromycin",0,1,1,100,"21","100"
"Streptococcus pneumoniae","Hospital","Clindamycin",1,0,1,0,"0","79"
"Streptococcus pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","3GC",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Gentamicin",6,5,11,45,"21","72"
"Escherichia coli","Hospital","Amikacin",11,0,11,0,"0","26"
"Escherichia coli","Hospital","Co-trimoxazole",3,8,11,73,"43","90"
"Escherichia coli","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","FLUOROQUINOLONES",1,10,11,91,"62","98"
"Escherichia coli","Hospital","Ciprofloxacin",1,10,11,91,"62","98"
"Escherichia coli","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","3GC",3,8,11,73,"43","90"
"Escherichia coli","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Cefotaxime",3,8,11,73,"43","90"
"Escherichia coli","Hospital","Ceftazidime",3,8,11,73,"43","90"
"Escherichia coli","Hospital","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","CARBAPENEMS",10,1,11,9,"2","38"
"Escherichia coli","Hospital","Imipenem",7,1,8,12,"2","47"
"Escherichia coli","Hospital","Meropenem",10,1,11,9,"2","38"
"Escherichia coli","Hospital","Ertapenem",10,1,11,9,"2","38"
"Escherichia coli","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Gentamicin",4,1,5,20,"4","62"
"Klebsiella pneumoniae","Hospital","Amikacin",5,0,5,0,"0","43"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",4,1,5,20,"4","62"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",3,2,5,40,"12","77"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",3,2,5,40,"12","77"
"Klebsiella pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","3GC",3,2,5,40,"12","77"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Cefotaxime",3,2,5,40,"12","77"
"Klebsiella pneumoniae","Hospital","Ceftazidime",3,2,5,40,"12","77"
"Klebsiella pneumoniae","Hospital","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",5,0,5,0,"0","43"
"Klebsiella pneumoniae","Hospital","Imipenem",4,0,4,0,"0","49"
"Klebsiella pneumoniae","Hospital","Meropenem",5,0,5,0,"0","43"
"Klebsiella pneumoniae","Hospital","Ertapenem",5,0,5,0,"0","43"
"Klebsiella pneumoniae","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","Gentamicin",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","Amikacin",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","Imipenem",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","Meropenem",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",11,5,16,31,"14","56"
"Acinetobacter spp.","Hospital","Gentamicin",11,5,16,31,"14","56"
"Acinetobacter spp.","Hospital","Amikacin",14,2,16,12,"3","36"
"Acinetobacter spp.","Hospital","CARBAPENEMS",10,6,16,38,"18","61"
"Acinetobacter spp.","Hospital","Imipenem",8,4,12,33,"14","61"
"Acinetobacter spp.","Hospital","Meropenem",10,6,16,38,"18","61"
"Acinetobacter spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Colistin",0,0,0,NA,"NA","NA"
