"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Klebsiella pneumoniae","Community","Ceftriaxone",93,47,140,34,"26","42"
"Klebsiella pneumoniae","Community","Cefotaxime",93,47,140,34,"26","42"
"Klebsiella pneumoniae","Community","Ceftazidime",95,43,138,31,"24","39"
"Klebsiella pneumoniae","Community","Cefepime",9,0,9,0,"0","30"
"Klebsiella pneumoniae","Community","CARBAPENEMS",137,3,140,2,"1","6"
"Klebsiella pneumoniae","Community","Imipenem",138,2,140,1,"0","5"
"Klebsiella pneumoniae","Community","Meropenem",108,2,110,2,"1","6"
"Klebsiella pneumoniae","Community","Ertapenem",137,3,140,2,"1","6"
"Klebsiella pneumoniae","Community","Doripenem",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Community","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Ceftazidime",31,4,35,11,"5","26"
"Pseudomonas aeruginosa","Community","Ciprofloxacin",32,3,35,9,"3","22"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",0,2,2,100,"34","100"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",32,3,35,9,"3","22"
"Pseudomonas aeruginosa","Community","Gentamicin",32,3,35,9,"3","22"
"Pseudomonas aeruginosa","Community","Amikacin",33,2,35,6,"2","19"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",32,3,35,9,"3","22"
"Pseudomonas aeruginosa","Community","Imipenem",32,3,35,9,"3","22"
"Pseudomonas aeruginosa","Community","Meropenem",28,3,31,10,"3","25"
"Pseudomonas aeruginosa","Community","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Tigecycline",59,0,59,0,"0","6"
"Acinetobacter spp.","Community","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",46,16,62,26,"17","38"
"Acinetobacter spp.","Community","Gentamicin",46,16,62,26,"17","38"
"Acinetobacter spp.","Community","Amikacin",49,13,62,21,"13","33"
"Acinetobacter spp.","Community","CARBAPENEMS",44,18,62,29,"19","41"
"Acinetobacter spp.","Community","Imipenem",44,18,62,29,"19","41"
"Acinetobacter spp.","Community","Meropenem",34,14,48,29,"18","43"
"Acinetobacter spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Colistin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Methicillin",40,17,57,30,"20","43"
"Staphylococcus aureus","Hospital","Vancomycin",57,0,57,0,"0","6"
"Staphylococcus aureus","Hospital","Clindamycin",36,21,57,37,"26","50"
"Enterococcus spp.","Hospital","Ampicillin",22,32,54,59,"46","71"
"Enterococcus spp.","Hospital","Vancomycin",52,2,54,4,"1","13"
"Enterococcus spp.","Hospital","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Linezolid",3,0,3,0,"0","56"
"Enterococcus spp.","Hospital","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Penicillin G",4,0,4,0,"0","49"
"Streptococcus pneumoniae","Hospital","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,4,4,100,"51","100"
"Streptococcus pneumoniae","Hospital","3GC",4,0,4,0,"0","49"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Cefotaxime",4,0,4,0,"0","49"
"Streptococcus pneumoniae","Hospital","Erythromycin",3,1,4,25,"5","70"
"Streptococcus pneumoniae","Hospital","Clindamycin",3,1,4,25,"5","70"
"Streptococcus pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",3,6,9,67,"35","88"
"Salmonella spp.","Hospital","Ciprofloxacin",3,6,9,67,"35","88"
"Salmonella spp.","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","3GC",5,4,9,44,"19","73"
"Salmonella spp.","Hospital","Ceftriaxone",5,4,9,44,"19","73"
"Salmonella spp.","Hospital","Cefotaxime",5,4,9,44,"19","73"
"Salmonella spp.","Hospital","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Gentamicin",62,48,110,44,"35","53"
"Escherichia coli","Hospital","Amikacin",106,4,110,4,"1","9"
"Escherichia coli","Hospital","Co-trimoxazole",42,68,110,62,"52","70"
"Escherichia coli","Hospital","Ampicillin",10,100,110,91,"84","95"
"Escherichia coli","Hospital","FLUOROQUINOLONES",43,66,109,61,"51","69"
"Escherichia coli","Hospital","Ciprofloxacin",43,66,109,61,"51","69"
"Escherichia coli","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","3GC",44,66,110,60,"51","69"
"Escherichia coli","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftriaxone",45,65,110,59,"50","68"
"Escherichia coli","Hospital","Cefotaxime",44,66,110,60,"51","69"
"Escherichia coli","Hospital","Ceftazidime",52,53,105,50,"41","60"
"Escherichia coli","Hospital","Cefepime",5,7,12,58,"32","81"
"Escherichia coli","Hospital","CARBAPENEMS",103,7,110,6,"3","13"
"Escherichia coli","Hospital","Imipenem",104,6,110,5,"3","11"
"Escherichia coli","Hospital","Meropenem",86,6,92,7,"3","14"
"Escherichia coli","Hospital","Ertapenem",99,7,106,7,"3","13"
"Escherichia coli","Hospital","Doripenem",2,0,2,0,"0","66"
"Escherichia coli","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Gentamicin",96,30,126,24,"17","32"
"Klebsiella pneumoniae","Hospital","Amikacin",118,8,126,6,"3","12"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",41,85,126,67,"59","75"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",50,76,126,60,"52","68"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",50,76,126,60,"52","68"
"Klebsiella pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","3GC",38,88,126,70,"61","77"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",39,87,126,69,"61","76"
"Klebsiella pneumoniae","Hospital","Cefotaxime",38,88,126,70,"61","77"
"Klebsiella pneumoniae","Hospital","Ceftazidime",40,85,125,68,"59","76"
"Klebsiella pneumoniae","Hospital","Cefepime",3,7,10,70,"40","89"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",116,10,126,8,"4","14"
"Klebsiella pneumoniae","Hospital","Imipenem",122,4,126,3,"1","8"
"Klebsiella pneumoniae","Hospital","Meropenem",97,5,102,5,"2","11"
"Klebsiella pneumoniae","Hospital","Ertapenem",112,10,122,8,"5","14"
"Klebsiella pneumoniae","Hospital","Doripenem",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",60,14,74,19,"12","29"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",63,11,74,15,"9","25"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",2,1,3,33,"6","79"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",59,15,74,20,"13","31"
"Pseudomonas aeruginosa","Hospital","Gentamicin",60,14,74,19,"12","29"
"Pseudomonas aeruginosa","Hospital","Amikacin",65,9,74,12,"7","22"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",56,18,74,24,"16","35"
"Pseudomonas aeruginosa","Hospital","Imipenem",58,16,74,22,"14","32"
"Pseudomonas aeruginosa","Hospital","Meropenem",44,9,53,17,"9","29"
"Pseudomonas aeruginosa","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Tigecycline",140,0,140,0,"0","3"
"Acinetobacter spp.","Hospital","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",42,131,173,76,"69","82"
"Acinetobacter spp.","Hospital","Gentamicin",44,129,173,75,"68","80"
"Acinetobacter spp.","Hospital","Amikacin",68,105,173,61,"53","68"
"Acinetobacter spp.","Hospital","CARBAPENEMS",38,135,173,78,"71","84"
"Acinetobacter spp.","Hospital","Imipenem",38,135,173,78,"71","84"
"Acinetobacter spp.","Hospital","Meropenem",35,103,138,75,"67","81"
"Acinetobacter spp.","Hospital","Doripenem",0,1,1,100,"21","100"
"Acinetobacter spp.","Hospital","Colistin",0,0,0,NA,"NA","NA"
