"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Pseudomonas aeruginosa","Community","Piperacillin/tazobactam",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","AMINOGLYCOSIDES",2,1,3,33,"6","79"
"Pseudomonas aeruginosa","Community","Gentamicin",2,1,3,33,"6","79"
"Pseudomonas aeruginosa","Community","Amikacin",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","Imipenem",3,0,3,0,"0","56"
"Pseudomonas aeruginosa","Community","Meropenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Colistin",0,1,1,100,"21","100"
"Acinetobacter spp.","Community","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Minocycline",1,0,1,0,"0","79"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",1,1,2,50,"9","91"
"Acinetobacter spp.","Community","Gentamicin",1,1,2,50,"9","91"
"Acinetobacter spp.","Community","Amikacin",1,0,1,0,"0","79"
"Acinetobacter spp.","Community","CARBAPENEMS",1,1,2,50,"9","91"
"Acinetobacter spp.","Community","Imipenem",1,1,2,50,"9","91"
"Acinetobacter spp.","Community","Meropenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Colistin",1,0,1,0,"0","79"
"Staphylococcus aureus","Hospital","Methicillin",3,4,7,57,"25","84"
"Staphylococcus aureus","Hospital","Vancomycin",6,0,6,0,"0","39"
"Staphylococcus aureus","Hospital","Clindamycin",1,6,7,86,"49","97"
"Enterococcus spp.","Hospital","Ampicillin",0,3,3,100,"44","100"
"Enterococcus spp.","Hospital","Vancomycin",3,0,3,0,"0","56"
"Enterococcus spp.","Hospital","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Linezolid",3,0,3,0,"0","56"
"Enterococcus spp.","Hospital","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","3GC",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Gentamicin",10,15,25,60,"41","77"
"Escherichia coli","Hospital","Amikacin",16,9,25,36,"20","55"
"Escherichia coli","Hospital","Co-trimoxazole",3,18,21,86,"65","95"
"Escherichia coli","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","FLUOROQUINOLONES",7,18,25,72,"52","86"
"Escherichia coli","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Levofloxacin",7,18,25,72,"52","86"
"Escherichia coli","Hospital","3GC",3,22,25,88,"70","96"
"Escherichia coli","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftriaxone",3,19,22,86,"67","95"
"Escherichia coli","Hospital","Cefotaxime",1,3,4,75,"30","95"
"Escherichia coli","Hospital","Ceftazidime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Cefepime",1,20,21,95,"77","99"
"Escherichia coli","Hospital","CARBAPENEMS",11,14,25,56,"37","73"
"Escherichia coli","Hospital","Imipenem",12,13,25,52,"33","70"
"Escherichia coli","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ertapenem",8,13,21,62,"41","79"
"Escherichia coli","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Gentamicin",21,13,34,38,"24","55"
"Klebsiella pneumoniae","Hospital","Amikacin",21,10,31,32,"19","50"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",6,17,23,74,"54","87"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",12,22,34,65,"48","79"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",0,3,3,100,"44","100"
"Klebsiella pneumoniae","Hospital","Levofloxacin",12,20,32,62,"45","77"
"Klebsiella pneumoniae","Hospital","3GC",5,29,34,85,"70","94"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",4,20,24,83,"64","93"
"Klebsiella pneumoniae","Hospital","Cefotaxime",1,10,11,91,"62","98"
"Klebsiella pneumoniae","Hospital","Ceftazidime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Cefepime",6,17,23,74,"54","87"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",23,11,34,32,"19","49"
"Klebsiella pneumoniae","Hospital","Imipenem",25,9,34,26,"15","43"
"Klebsiella pneumoniae","Hospital","Meropenem",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Hospital","Ertapenem",14,9,23,39,"22","59"
"Klebsiella pneumoniae","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",0,1,1,100,"21","100"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",4,3,7,43,"16","75"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",6,1,7,14,"3","51"
"Pseudomonas aeruginosa","Hospital","Gentamicin",6,1,7,14,"3","51"
"Pseudomonas aeruginosa","Hospital","Amikacin",6,1,7,14,"3","51"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",4,3,7,43,"16","75"
"Pseudomonas aeruginosa","Hospital","Imipenem",4,3,7,43,"16","75"
"Pseudomonas aeruginosa","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Colistin",2,3,5,60,"23","88"
"Acinetobacter spp.","Hospital","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Minocycline",3,1,4,25,"5","70"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",2,2,4,50,"15","85"
"Acinetobacter spp.","Hospital","Gentamicin",2,2,4,50,"15","85"
"Acinetobacter spp.","Hospital","Amikacin",2,0,2,0,"0","66"
"Acinetobacter spp.","Hospital","CARBAPENEMS",3,1,4,25,"5","70"
"Acinetobacter spp.","Hospital","Imipenem",3,1,4,25,"5","70"
"Acinetobacter spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Colistin",4,0,4,0,"0","49"
