"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Acinetobacter spp.","Community","Gentamicin",5,0,5,0,"0","43"
"Acinetobacter spp.","Community","Amikacin",5,0,5,0,"0","43"
"Acinetobacter spp.","Community","CARBAPENEMS",5,0,5,0,"0","43"
"Acinetobacter spp.","Community","Imipenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Meropenem",5,0,5,0,"0","43"
"Acinetobacter spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Colistin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Methicillin",1,1,2,50,"9","91"
"Staphylococcus aureus","Hospital","Vancomycin",3,0,3,0,"0","56"
"Staphylococcus aureus","Hospital","Clindamycin",0,3,3,100,"44","100"
"Enterococcus spp.","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Vancomycin",36,12,48,25,"15","39"
"Enterococcus spp.","Hospital","Teicoplanin",36,11,47,23,"14","37"
"Enterococcus spp.","Hospital","Linezolid",48,0,48,0,"0","7"
"Enterococcus spp.","Hospital","Daptomycin",1,0,1,0,"0","79"
"Streptococcus pneumoniae","Hospital","Penicillin G",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Hospital","Oxacillin",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Erythromycin",2,0,2,0,"0","66"
"Streptococcus pneumoniae","Hospital","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Levofloxacin",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Ciprofloxacin",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","3GC",1,0,1,0,"0","79"
"Salmonella spp.","Hospital","Ceftriaxone",1,0,1,0,"0","79"
"Salmonella spp.","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftazidime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","CARBAPENEMS",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Gentamicin",57,15,72,21,"13","32"
"Escherichia coli","Hospital","Amikacin",66,6,72,8,"4","17"
"Escherichia coli","Hospital","Co-trimoxazole",1,6,7,86,"49","97"
"Escherichia coli","Hospital","Ampicillin",52,20,72,28,"19","39"
"Escherichia coli","Hospital","FLUOROQUINOLONES",52,20,72,28,"19","39"
"Escherichia coli","Hospital","Ciprofloxacin",52,20,72,28,"19","39"
"Escherichia coli","Hospital","Levofloxacin",2,0,2,0,"0","66"
"Escherichia coli","Hospital","3GC",56,16,72,22,"14","33"
"Escherichia coli","Hospital","Cefpodoxime",27,3,30,10,"3","26"
"Escherichia coli","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Cefotaxime",54,14,68,21,"13","32"
"Escherichia coli","Hospital","Ceftazidime",56,16,72,22,"14","33"
"Escherichia coli","Hospital","Cefepime",56,13,69,19,"11","30"
"Escherichia coli","Hospital","CARBAPENEMS",72,0,72,0,"0","5"
"Escherichia coli","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Meropenem",72,0,72,0,"0","5"
"Escherichia coli","Hospital","Ertapenem",69,0,69,0,"0","5"
"Escherichia coli","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Colistin",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Hospital","Gentamicin",19,10,29,34,"20","53"
"Klebsiella pneumoniae","Hospital","Amikacin",28,1,29,3,"1","17"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",0,2,2,100,"34","100"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",18,11,29,38,"23","56"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",18,11,29,38,"23","56"
"Klebsiella pneumoniae","Hospital","Levofloxacin",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Hospital","3GC",19,10,29,34,"20","53"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",2,4,6,67,"30","90"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Cefotaxime",20,8,28,29,"15","47"
"Klebsiella pneumoniae","Hospital","Ceftazidime",19,10,29,34,"20","53"
"Klebsiella pneumoniae","Hospital","Cefepime",20,8,28,29,"15","47"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",29,0,29,0,"0","12"
"Klebsiella pneumoniae","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Meropenem",29,0,29,0,"0","12"
"Klebsiella pneumoniae","Hospital","Ertapenem",28,0,28,0,"0","12"
"Klebsiella pneumoniae","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",29,7,36,19,"10","35"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",33,3,36,8,"3","22"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",30,6,36,17,"8","32"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",35,1,36,3,"0","14"
"Pseudomonas aeruginosa","Hospital","Gentamicin",35,1,36,3,"0","14"
"Pseudomonas aeruginosa","Hospital","Amikacin",35,1,36,3,"0","14"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",31,5,36,14,"6","29"
"Pseudomonas aeruginosa","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Meropenem",31,5,36,14,"6","29"
"Pseudomonas aeruginosa","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Tigecycline",1,0,1,0,"0","79"
"Acinetobacter spp.","Hospital","Minocycline",1,0,1,0,"0","79"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",3,0,3,0,"0","56"
"Acinetobacter spp.","Hospital","Gentamicin",3,0,3,0,"0","56"
"Acinetobacter spp.","Hospital","Amikacin",2,0,2,0,"0","66"
"Acinetobacter spp.","Hospital","CARBAPENEMS",2,1,3,33,"6","79"
"Acinetobacter spp.","Hospital","Imipenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Meropenem",2,1,3,33,"6","79"
"Acinetobacter spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Colistin",0,0,0,NA,"NA","NA"
