"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Escherichia coli","Ceftriaxone",119,38,157,24,"18","31"
"Escherichia coli","Cefotaxime",4,0,4,0,"0","49"
"Escherichia coli","Ceftazidime",121,36,157,23,"17","30"
"Escherichia coli","Cefepime",117,31,148,21,"15","28"
"Escherichia coli","CARBAPENEMS",128,29,157,18,"13","25"
"Escherichia coli","Imipenem",131,26,157,17,"12","23"
"Escherichia coli","Meropenem",132,25,157,16,"11","22"
"Escherichia coli","Ertapenem",127,20,147,14,"9","20"
"Escherichia coli","Doripenem",28,5,33,15,"7","31"
"Escherichia coli","Colistin",0,14,14,100,"78","100"
"Klebsiella pneumoniae","Gentamicin",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Amikacin",125,9,134,7,"4","12"
"Klebsiella pneumoniae","Co-trimoxazole",4,5,9,56,"27","81"
"Klebsiella pneumoniae","FLUOROQUINOLONES",60,75,135,56,"47","64"
"Klebsiella pneumoniae","Ciprofloxacin",60,75,135,56,"47","64"
"Klebsiella pneumoniae","Levofloxacin",18,22,40,55,"40","69"
"Klebsiella pneumoniae","3GC",70,65,135,48,"40","57"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",70,65,135,48,"40","57"
"Klebsiella pneumoniae","Cefotaxime",3,0,3,0,"0","56"
"Klebsiella pneumoniae","Ceftazidime",70,65,135,48,"40","57"
"Klebsiella pneumoniae","Cefepime",66,61,127,48,"40","57"
"Klebsiella pneumoniae","CARBAPENEMS",69,66,135,49,"41","57"
"Klebsiella pneumoniae","Imipenem",69,64,133,48,"40","57"
"Klebsiella pneumoniae","Meropenem",72,63,135,47,"38","55"
"Klebsiella pneumoniae","Ertapenem",72,47,119,39,"31","48"
"Klebsiella pneumoniae","Doripenem",19,20,39,51,"36","66"
"Klebsiella pneumoniae","Colistin",0,38,38,100,"91","100"
"Pseudomonas aeruginosa","Ceftazidime",41,7,48,15,"7","27"
"Pseudomonas aeruginosa","Ciprofloxacin",41,7,48,15,"7","27"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",36,7,43,16,"8","30"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",44,4,48,8,"3","20"
"Pseudomonas aeruginosa","Gentamicin",5,1,6,17,"3","56"
"Pseudomonas aeruginosa","Amikacin",43,4,47,9,"3","20"
"Pseudomonas aeruginosa","CARBAPENEMS",31,17,48,35,"23","50"
"Pseudomonas aeruginosa","Imipenem",34,14,48,29,"18","43"
"Pseudomonas aeruginosa","Meropenem",36,12,48,25,"15","39"
"Pseudomonas aeruginosa","Doripenem",22,11,33,33,"20","50"
"Pseudomonas aeruginosa","Colistin",0,6,6,100,"61","100"
"Acinetobacter spp.","Tigecycline",38,2,40,5,"1","17"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",9,2,11,18,"5","48"
"Acinetobacter spp.","Gentamicin",1,0,1,0,"0","79"
"Acinetobacter spp.","Amikacin",9,2,11,18,"5","48"
"Acinetobacter spp.","CARBAPENEMS",37,68,105,65,"55","73"
"Acinetobacter spp.","Imipenem",36,66,102,65,"55","73"
"Acinetobacter spp.","Meropenem",37,68,105,65,"55","73"
"Acinetobacter spp.","Doripenem",25,46,71,65,"53","75"
"Acinetobacter spp.","Colistin",0,28,28,100,"88","100"
