"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Pseudomonas aeruginosa","Community","Amikacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","CARBAPENEMS",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Imipenem",2,0,2,0,"0","66"
"Pseudomonas aeruginosa","Community","Meropenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Community","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","AMINOGLYCOSIDES",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Gentamicin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Amikacin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","CARBAPENEMS",8,1,9,11,"2","43"
"Acinetobacter spp.","Community","Imipenem",8,1,9,11,"2","43"
"Acinetobacter spp.","Community","Meropenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Community","Colistin",0,0,0,NA,"NA","NA"
"Staphylococcus aureus","Hospital","Methicillin",9,1,10,10,"2","40"
"Staphylococcus aureus","Hospital","Vancomycin",10,0,10,0,"0","28"
"Staphylococcus aureus","Hospital","Clindamycin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Ampicillin",3,1,4,25,"5","70"
"Enterococcus spp.","Hospital","Vancomycin",5,0,5,0,"0","43"
"Enterococcus spp.","Hospital","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Linezolid",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","3GC",5,0,5,0,"0","43"
"Salmonella spp.","Hospital","Ceftriaxone",5,0,5,0,"0","43"
"Salmonella spp.","Hospital","Cefotaxime",5,0,5,0,"0","43"
"Salmonella spp.","Hospital","Ceftazidime",4,0,4,0,"0","49"
"Salmonella spp.","Hospital","CARBAPENEMS",5,0,5,0,"0","43"
"Salmonella spp.","Hospital","Imipenem",5,0,5,0,"0","43"
"Salmonella spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Amikacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","3GC",20,14,34,41,"26","58"
"Escherichia coli","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftriaxone",20,14,34,41,"26","58"
"Escherichia coli","Hospital","Cefotaxime",23,11,34,32,"19","49"
"Escherichia coli","Hospital","Ceftazidime",25,9,34,26,"15","43"
"Escherichia coli","Hospital","Cefepime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","CARBAPENEMS",33,1,34,3,"1","15"
"Escherichia coli","Hospital","Imipenem",33,1,34,3,"1","15"
"Escherichia coli","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Amikacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","3GC",10,10,20,50,"30","70"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",10,10,20,50,"30","70"
"Klebsiella pneumoniae","Hospital","Cefotaxime",13,7,20,35,"18","57"
"Klebsiella pneumoniae","Hospital","Ceftazidime",11,9,20,45,"26","66"
"Klebsiella pneumoniae","Hospital","Cefepime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",19,1,20,5,"1","24"
"Klebsiella pneumoniae","Hospital","Imipenem",19,1,20,5,"1","24"
"Klebsiella pneumoniae","Hospital","Meropenem",1,0,1,0,"0","79"
"Klebsiella pneumoniae","Hospital","Ertapenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",5,0,5,0,"0","43"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",5,0,5,0,"0","43"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Amikacin",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",4,1,5,20,"4","62"
"Pseudomonas aeruginosa","Hospital","Imipenem",4,1,5,20,"4","62"
"Pseudomonas aeruginosa","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Amikacin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","CARBAPENEMS",8,1,9,11,"2","43"
"Acinetobacter spp.","Hospital","Imipenem",8,1,9,11,"2","43"
"Acinetobacter spp.","Hospital","Meropenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Colistin",0,0,0,NA,"NA","NA"
