"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Escherichia coli","Levofloxacin",85,171,256,67,"61","72"
"Escherichia coli","3GC",159,155,314,49,"44","55"
"Escherichia coli","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Ceftriaxone",161,152,313,49,"43","54"
"Escherichia coli","Cefotaxime",0,2,2,100,"34","100"
"Escherichia coli","Ceftazidime",189,121,310,39,"34","45"
"Escherichia coli","Cefepime",161,86,247,35,"29","41"
"Escherichia coli","CARBAPENEMS",278,36,314,11,"8","15"
"Escherichia coli","Imipenem",260,34,294,12,"8","16"
"Escherichia coli","Meropenem",278,31,309,10,"7","14"
"Escherichia coli","Ertapenem",277,36,313,12,"8","16"
"Escherichia coli","Doripenem",226,30,256,12,"8","16"
"Escherichia coli","Colistin",0,105,105,100,"96","100"
"Klebsiella pneumoniae","Gentamicin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Amikacin",176,6,182,3,"2","7"
"Klebsiella pneumoniae","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","FLUOROQUINOLONES",73,110,183,60,"53","67"
"Klebsiella pneumoniae","Ciprofloxacin",76,107,183,58,"51","65"
"Klebsiella pneumoniae","Levofloxacin",65,99,164,60,"53","68"
"Klebsiella pneumoniae","3GC",75,108,183,59,"52","66"
"Klebsiella pneumoniae","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftriaxone",77,106,183,58,"51","65"
"Klebsiella pneumoniae","Cefotaxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Ceftazidime",78,105,183,57,"50","64"
"Klebsiella pneumoniae","Cefepime",81,78,159,49,"41","57"
"Klebsiella pneumoniae","CARBAPENEMS",140,43,183,23,"18","30"
"Klebsiella pneumoniae","Imipenem",132,42,174,24,"18","31"
"Klebsiella pneumoniae","Meropenem",141,42,183,23,"17","30"
"Klebsiella pneumoniae","Ertapenem",140,43,183,23,"18","30"
"Klebsiella pneumoniae","Doripenem",124,40,164,24,"18","31"
"Klebsiella pneumoniae","Colistin",0,71,71,100,"95","100"
"Pseudomonas aeruginosa","Ceftazidime",26,14,40,35,"22","50"
"Pseudomonas aeruginosa","Ciprofloxacin",31,9,40,22,"12","38"
"Pseudomonas aeruginosa","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","AMINOGLYCOSIDES",37,3,40,8,"3","20"
"Pseudomonas aeruginosa","Gentamicin",2,1,3,33,"6","79"
"Pseudomonas aeruginosa","Amikacin",37,3,40,8,"3","20"
"Pseudomonas aeruginosa","CARBAPENEMS",25,15,40,38,"24","53"
"Pseudomonas aeruginosa","Imipenem",25,13,38,34,"21","50"
"Pseudomonas aeruginosa","Meropenem",26,13,39,33,"21","49"
"Pseudomonas aeruginosa","Doripenem",22,11,33,33,"20","50"
"Pseudomonas aeruginosa","Colistin",0,10,10,100,"72","100"
"Acinetobacter spp.","Tigecycline",53,13,66,20,"12","31"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",13,2,15,13,"4","38"
"Acinetobacter spp.","Gentamicin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Amikacin",13,2,15,13,"4","38"
"Acinetobacter spp.","CARBAPENEMS",26,106,132,80,"73","86"
"Acinetobacter spp.","Imipenem",36,93,129,72,"64","79"
"Acinetobacter spp.","Meropenem",38,94,132,71,"63","78"
"Acinetobacter spp.","Doripenem",34,91,125,73,"64","80"
"Acinetobacter spp.","Colistin",0,81,81,100,"95","100"
