"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Pseudomonas aeruginosa","CARBAPENEMS",1,2,3,67,"21","94"
"Pseudomonas aeruginosa","Imipenem",1,2,3,67,"21","94"
"Pseudomonas aeruginosa","Meropenem",2,1,3,33,"6","79"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,1,1,100,"21","100"
"Acinetobacter spp.","Tigecycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",13,27,40,68,"52","80"
"Acinetobacter spp.","Gentamicin",13,25,38,66,"50","79"
"Acinetobacter spp.","Amikacin",16,22,38,58,"42","72"
"Acinetobacter spp.","CARBAPENEMS",21,18,39,46,"32","61"
"Acinetobacter spp.","Imipenem",21,16,37,43,"29","59"
"Acinetobacter spp.","Meropenem",22,17,39,44,"29","59"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",7,0,7,0,"0","35"
