"Organism","Infection_origin","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Acinetobacter spp.","Community","Meropenem",13,6,19,32,"15","54"
"Acinetobacter spp.","Community","Doripenem",11,6,17,35,"17","59"
"Acinetobacter spp.","Community","Colistin",0,9,9,100,"70","100"
"Staphylococcus aureus","Hospital","Methicillin",12,2,14,14,"4","40"
"Staphylococcus aureus","Hospital","Vancomycin",2,0,2,0,"0","66"
"Staphylococcus aureus","Hospital","Clindamycin",11,3,14,21,"8","48"
"Enterococcus spp.","Hospital","Ampicillin",16,33,49,67,"53","79"
"Enterococcus spp.","Hospital","Vancomycin",43,6,49,12,"6","24"
"Enterococcus spp.","Hospital","Teicoplanin",0,0,0,NA,"NA","NA"
"Enterococcus spp.","Hospital","Linezolid",46,2,48,4,"1","14"
"Enterococcus spp.","Hospital","Daptomycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Penicillin G",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Oxacillin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","3GC",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Ceftriaxone",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Erythromycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Clindamycin",0,0,0,NA,"NA","NA"
"Streptococcus pneumoniae","Hospital","Levofloxacin",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","FLUOROQUINOLONES",1,1,2,50,"9","91"
"Salmonella spp.","Hospital","Ciprofloxacin",0,1,1,100,"21","100"
"Salmonella spp.","Hospital","Levofloxacin",1,1,2,50,"9","91"
"Salmonella spp.","Hospital","3GC",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Ceftriaxone",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Salmonella spp.","Hospital","Ceftazidime",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","CARBAPENEMS",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Imipenem",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Meropenem",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Ertapenem",2,0,2,0,"0","66"
"Salmonella spp.","Hospital","Doripenem",2,0,2,0,"0","66"
"Escherichia coli","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Amikacin",68,0,68,0,"0","5"
"Escherichia coli","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ampicillin",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","FLUOROQUINOLONES",15,53,68,78,"67","86"
"Escherichia coli","Hospital","Ciprofloxacin",18,50,68,74,"62","83"
"Escherichia coli","Hospital","Levofloxacin",15,52,67,78,"66","86"
"Escherichia coli","Hospital","3GC",20,48,68,71,"59","80"
"Escherichia coli","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftriaxone",20,48,68,71,"59","80"
"Escherichia coli","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Escherichia coli","Hospital","Ceftazidime",28,39,67,58,"46","69"
"Escherichia coli","Hospital","Cefepime",31,34,65,52,"40","64"
"Escherichia coli","Hospital","CARBAPENEMS",48,20,68,29,"20","41"
"Escherichia coli","Hospital","Imipenem",47,20,67,30,"20","42"
"Escherichia coli","Hospital","Meropenem",49,19,68,28,"19","40"
"Escherichia coli","Hospital","Ertapenem",47,20,67,30,"20","42"
"Escherichia coli","Hospital","Doripenem",47,20,67,30,"20","42"
"Escherichia coli","Hospital","Colistin",0,35,35,100,"90","100"
"Klebsiella pneumoniae","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Amikacin",89,4,93,4,"2","11"
"Klebsiella pneumoniae","Hospital","Co-trimoxazole",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","FLUOROQUINOLONES",22,71,93,76,"67","84"
"Klebsiella pneumoniae","Hospital","Ciprofloxacin",23,70,93,75,"66","83"
"Klebsiella pneumoniae","Hospital","Levofloxacin",22,70,92,76,"66","84"
"Klebsiella pneumoniae","Hospital","3GC",19,74,93,80,"70","87"
"Klebsiella pneumoniae","Hospital","Cefpodoxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftriaxone",19,74,93,80,"70","87"
"Klebsiella pneumoniae","Hospital","Cefotaxime",0,0,0,NA,"NA","NA"
"Klebsiella pneumoniae","Hospital","Ceftazidime",20,73,93,78,"69","86"
"Klebsiella pneumoniae","Hospital","Cefepime",28,59,87,68,"57","77"
"Klebsiella pneumoniae","Hospital","CARBAPENEMS",54,39,93,42,"32","52"
"Klebsiella pneumoniae","Hospital","Imipenem",55,37,92,40,"31","50"
"Klebsiella pneumoniae","Hospital","Meropenem",56,37,93,40,"30","50"
"Klebsiella pneumoniae","Hospital","Ertapenem",54,38,92,41,"32","52"
"Klebsiella pneumoniae","Hospital","Doripenem",55,37,92,40,"31","50"
"Klebsiella pneumoniae","Hospital","Colistin",0,51,51,100,"93","100"
"Pseudomonas aeruginosa","Hospital","Ceftazidime",13,9,22,41,"23","61"
"Pseudomonas aeruginosa","Hospital","Ciprofloxacin",17,5,22,23,"10","43"
"Pseudomonas aeruginosa","Hospital","Piperacillin/tazobactam",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Hospital","AMINOGLYCOSIDES",20,2,22,9,"3","28"
"Pseudomonas aeruginosa","Hospital","Gentamicin",1,0,1,0,"0","79"
"Pseudomonas aeruginosa","Hospital","Amikacin",20,2,22,9,"3","28"
"Pseudomonas aeruginosa","Hospital","CARBAPENEMS",13,9,22,41,"23","61"
"Pseudomonas aeruginosa","Hospital","Imipenem",14,7,21,33,"17","55"
"Pseudomonas aeruginosa","Hospital","Meropenem",14,8,22,36,"20","57"
"Pseudomonas aeruginosa","Hospital","Doripenem",13,8,21,38,"21","59"
"Pseudomonas aeruginosa","Hospital","Colistin",0,6,6,100,"61","100"
"Acinetobacter spp.","Hospital","Tigecycline",43,13,56,23,"14","36"
"Acinetobacter spp.","Hospital","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","AMINOGLYCOSIDES",5,1,6,17,"3","56"
"Acinetobacter spp.","Hospital","Gentamicin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Hospital","Amikacin",5,1,6,17,"3","56"
"Acinetobacter spp.","Hospital","CARBAPENEMS",15,95,110,86,"79","92"
"Acinetobacter spp.","Hospital","Imipenem",24,85,109,78,"69","85"
"Acinetobacter spp.","Hospital","Meropenem",23,87,110,79,"71","86"
"Acinetobacter spp.","Hospital","Doripenem",22,85,107,79,"71","86"
"Acinetobacter spp.","Hospital","Colistin",0,71,71,100,"95","100"
