"Organism","Antibiotic","Susceptible(N)","Non-susceptible(N)","Total(N)","Non-susceptible(%)","lower95CI(%)*","upper95CI(%)*"
"Pseudomonas aeruginosa","Amikacin",13,3,16,19,"7","43"
"Pseudomonas aeruginosa","CARBAPENEMS",9,7,16,44,"23","67"
"Pseudomonas aeruginosa","Imipenem",9,7,16,44,"23","67"
"Pseudomonas aeruginosa","Meropenem",10,6,16,38,"18","61"
"Pseudomonas aeruginosa","Doripenem",0,0,0,NA,"NA","NA"
"Pseudomonas aeruginosa","Colistin",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Tigecycline",36,0,36,0,"0","10"
"Acinetobacter spp.","Minocycline",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","AMINOGLYCOSIDES",10,3,13,23,"8","50"
"Acinetobacter spp.","Gentamicin",2,3,5,60,"23","88"
"Acinetobacter spp.","Amikacin",10,2,12,17,"5","45"
"Acinetobacter spp.","CARBAPENEMS",29,17,46,37,"25","51"
"Acinetobacter spp.","Imipenem",30,16,46,35,"23","49"
"Acinetobacter spp.","Meropenem",27,17,44,39,"26","53"
"Acinetobacter spp.","Doripenem",0,0,0,NA,"NA","NA"
"Acinetobacter spp.","Colistin",0,0,0,NA,"NA","NA"
